date,number
1998-01-31,0.0
1998-02-28,0.0
1998-03-31,0.0
1998-04-30,0.0
1998-05-31,0.0
1998-06-30,1.0
1998-07-31,5.0
1998-08-31,12.0
1998-09-30,177.0
1998-10-31,372.0
1998-11-30,141.0
1998-12-31,59.0
1999-01-31,102.0
1999-02-28,13.0
1999-03-31,27.0
1999-04-30,2.0
1999-05-31,6.0
1999-06-30,7.0
1999-07-31,2.0
1999-08-31,3.0
1999-09-30,64.0
1999-10-31,180.0
1999-11-30,41.0
1999-12-31,16.0
2000-01-31,3.0
2000-02-29,4.0
2000-03-31,14.0
2000-04-30,1.0
2000-05-31,7.0
2000-06-30,4.0
2000-07-31,0.0
2000-08-31,31.0
2000-09-30,130.0
2000-10-31,411.0
2000-11-30,64.0
2000-12-31,22.0
2001-01-31,7.0
2001-02-28,2.0
2001-03-31,0.0
2001-04-30,2.0
2001-05-31,5.0
2001-06-30,2.0
2001-07-31,6.0
2001-08-31,27.0
2001-09-30,298.0
2001-10-31,461.0
2001-11-30,208.0
2001-12-31,62.0
2002-01-31,10.0
2002-02-28,19.0
2002-03-31,24.0
2002-04-30,5.0
2002-05-31,13.0
2002-06-30,1.0
2002-07-31,8.0
2002-08-31,37.0
2002-09-30,374.0
2002-10-31,638.0
2002-11-30,521.0
2002-12-31,259.0
2003-01-31,188.0
2003-02-28,35.0
2003-03-31,9.0
2003-04-30,7.0
2003-05-31,1.0
2003-06-30,2.0
2003-07-31,5.0
2003-08-31,26.0
2003-09-30,510.0
2003-10-31,859.0
2003-11-30,560.0
2003-12-31,229.0
2004-01-31,29.0
2004-02-29,8.0
2004-03-31,6.0
2004-04-30,5.0
2004-05-31,2.0
2004-06-30,4.0
2004-07-31,13.0
2004-08-31,41.0
2004-09-30,192.0
2004-10-31,545.0
2004-11-30,465.0
2004-12-31,373.0
2005-01-31,221.0
2005-02-28,33.0
2005-03-31,45.0
2005-04-30,1.0
2005-05-31,1.0
2005-06-30,3.0
2005-07-31,1.0
2005-08-31,10.0
2005-09-30,154.0
2005-10-31,408.0
2005-11-30,452.0
2005-12-31,191.0
2006-01-31,148.0
2006-02-28,41.0
2006-03-31,18.0
2006-04-30,2.0
2006-05-31,1.0
2006-06-30,0.0
2006-07-31,1.0
2006-08-31,8.0
2006-09-30,147.0
2006-10-31,310.0
2006-11-30,385.0
2006-12-31,207.0
2007-01-31,156.0
2007-02-28,21.0
2007-03-31,4.0
2007-04-30,1.0
2007-05-31,0.0
2007-06-30,1.0
2007-07-31,3.0
2007-08-31,20.0
2007-09-30,164.0
2007-10-31,702.0
2007-11-30,359.0
2007-12-31,200.0
2008-01-31,170.0
2008-02-29,48.0
2008-03-31,32.0
2008-04-30,5.0
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,2.0
2008-09-30,92.0
2008-10-31,274.0
2008-11-30,363.0
2008-12-31,203.0
2009-01-31,256.0
2009-02-28,28.0
2009-03-31,15.0
2009-04-30,3.0
2009-05-31,0.0
2009-06-30,1.0
2009-07-31,1.0
2009-08-31,10.0
2009-09-30,164.0
2009-10-31,254.0
2009-11-30,486.0
2009-12-31,351.0
2010-01-31,47.0
2010-02-28,33.0
2010-03-31,59.0
2010-04-30,2.0
2010-05-31,8.0
2010-06-30,1.0
2010-07-31,7.0
2010-08-31,29.0
2010-09-30,179.0
2010-10-31,347.0
2010-11-30,831.0
2010-12-31,117.0
2011-01-31,49.0
2011-02-28,25.0
2011-03-31,39.0
2011-04-30,22.0
2011-05-31,1.0
2011-06-30,4.0
2011-07-31,2.0
2011-08-31,27.0
2011-09-30,243.0
2011-10-31,461.0
2011-11-30,352.0
2011-12-31,364.0
2012-01-31,146.0
2012-02-29,64.0
2012-03-31,44.0
2012-04-30,46.0
2012-05-31,36.0
2012-06-30,12.0
2012-07-31,11.0
2012-08-31,27.0
2012-09-30,192.0
2012-10-31,222.0
2012-11-30,181.0
2012-12-31,108.0
2013-01-31,55.0
2013-02-28,29.0
2013-03-31,40.0
2013-04-30,11.0
2013-05-31,9.0
2013-06-30,12.0
2013-07-31,4.0
2013-08-31,14.0
2013-09-30,143.0
2013-10-31,161.0
2013-11-30,110.0
2013-12-31,141.0
2014-01-31,99.0
2014-02-28,25.0
2014-03-31,36.0
2014-04-30,10.0
2014-05-31,4.0
2014-06-30,3.0
2014-07-31,11.0
2014-08-31,23.0
2014-09-30,63.0
2014-10-31,174.0
2014-11-30,111.0
2014-12-31,101.0
2015-01-31,109.0
2015-02-28,55.0
2015-03-31,33.0
2015-04-30,30.0
2015-05-31,17.0
2015-06-30,3.0
2015-07-31,13.0
2015-08-31,21.0
2015-09-30,116.0
2015-10-31,194.0
2015-11-30,315.0
2015-12-31,176.0
2016-01-31,24.0
2016-02-29,19.0
2016-03-31,4.0
2016-04-30,8.0
2016-05-31,6.0
2016-06-30,4.0
2016-07-31,17.0
2016-08-31,42.0
2016-09-30,171.0
2016-10-31,319.0
2016-11-30,191.0
2016-12-31,161.0
2017-01-31,52.0
2017-02-28,23.0
2017-03-31,7.0
2017-04-30,9.0
2017-05-31,13.0
2017-06-30,5.0
2017-07-31,2.0
2017-08-31,20.0
2017-09-30,69.0
2017-10-31,256.0
2017-11-30,66.0
